dataset,metric,baseline,statistic,p_value,significant,alpha
k10_L1_0.1,acc,full_information,1545.5,0.9968005881262132,False,0.05
k10_L1_0.1,spa,full_information,1453.0,0.9998860450288434,False,0.05
k10_L1_0.1,ace,full_information,1363.0,0.9999676983723215,False,0.05
k10_L1_0.1,mse,full_information,1489.0,0.9998160530858279,False,0.05
k10_L1_0.1,acc,popularity,4161.0,1.869510728907005e-14,True,0.05
k10_L1_0.1,spa,popularity,5050.0,1.948279922547955e-18,True,0.05
k10_L1_0.1,ace,popularity,5050.0,1.948279922547955e-18,True,0.05
k10_L1_0.1,mse,popularity,5050.0,1.948279922547955e-18,True,0.05
k10_L1_0.1,acc,simple_markov,1385.5,0.9997137756954154,False,0.05
k10_L1_0.1,spa,simple_markov,2915.0,0.08996888097144201,False,0.05
k10_L1_0.1,ace,simple_markov,4700.0,3.76288981370265e-14,True,0.05
k10_L1_0.1,mse,simple_markov,5025.0,4.1338992922577564e-18,True,0.05
k10_L1_0.1,acc,random,1745.5,0.9945567563115176,False,0.05
k10_L1_0.1,spa,random,1048.0,0.9999998096924618,False,0.05
k10_L1_0.1,ace,random,980.0,0.9999999458487132,False,0.05
k10_L1_0.1,mse,random,1156.0,0.999998743466569,False,0.05
k5_L1_0.1,acc,full_information,1624.0,0.989141481315734,False,0.05
k5_L1_0.1,spa,full_information,2021.0,0.9584446752154502,False,0.05
k5_L1_0.1,ace,full_information,1919.0,0.981402847838233,False,0.05
k5_L1_0.1,mse,full_information,2198.0,0.8695639435459683,False,0.05
k5_L1_0.1,acc,popularity,2113.0,0.46842939087976254,False,0.05
k5_L1_0.1,spa,popularity,2907.0,0.0945173479741313,False,0.05
k5_L1_0.1,ace,popularity,2952.0,0.07102974406301193,False,0.05
k5_L1_0.1,mse,popularity,3837.0,3.2248860171581485e-06,True,0.05
k5_L1_0.1,acc,simple_markov,1372.5,0.9994097226455241,False,0.05
k5_L1_0.1,spa,simple_markov,841.0,0.9999999964835908,False,0.05
k5_L1_0.1,ace,simple_markov,4729.0,1.753693442891679e-14,True,0.05
k5_L1_0.1,mse,simple_markov,3347.0,0.002354434768878362,True,0.05
k5_L1_0.1,acc,random,2165.0,0.45967096150065445,False,0.05
k5_L1_0.1,spa,random,2247.0,0.830427076491941,False,0.05
k5_L1_0.1,ace,random,2293.0,0.7874751916020608,False,0.05
k5_L1_0.1,mse,random,2246.0,0.8312943267811823,False,0.05
