dataset,method,n_samples,acc_mean,acc_std,spa_mean,spa_std,ace_mean,ace_std,mse_mean,mse_std
k5_L1_1.0,proposed,100,0.7336363636363636,0.08820801086127164,0.7768320761911122,0.04358657438677763,0.41112774659921386,0.08208128567805928,0.07382466711103912,0.015415221217997831
k5_L1_1.0,full_information,100,0.7400757575757574,0.08759450100905454,0.7768067479234075,0.04358734948749924,0.41110395358766477,0.08210205095935512,0.07384991724044081,0.015437424834520812
k5_L1_1.0,popularity,100,0.7283333333333334,0.08325343304831162,0.7756746489581928,0.04489703826729789,0.41456553654945255,0.08556461351108316,0.07613685886255073,0.01701928222938624
k5_L1_1.0,simple_markov,100,0.7670454545454544,0.07867341612467829,0.7979506020939846,0.04972342990324387,1.396808230092476,1.0505238081439605,0.07928306520763341,0.02190183627878234
k5_L1_1.0,random,100,0.7324999999999998,0.0829651758524377,0.7768111111111111,0.04358974988490582,0.4111470783158737,0.08212969809817916,0.0738393939393939,0.015429260541702365
k10_L1_1.0,proposed,100,0.6753690476190475,0.09640618078040222,0.6882517775056161,0.048882380293808196,0.46713273516315285,0.09847087705454961,0.07428759988397356,0.013480032267858929
k10_L1_1.0,full_information,100,0.6695714285714286,0.09758154584154093,0.6882056906324284,0.04889396352854155,0.46721901316902487,0.09841132693654761,0.07430649053305384,0.01344812221380153
k10_L1_1.0,popularity,100,0.5567738095238095,0.09203000694098579,0.6540469192188815,0.053546487577573756,0.5454014400200046,0.11304361708117373,0.09362589307767659,0.016245733046997998
k10_L1_1.0,simple_markov,100,0.6766785714285716,0.08766471360921305,0.6830279336734694,0.05931227736014704,1.695951127656192,1.2213182039211101,0.09657015306122445,0.02104699321006972
k10_L1_1.0,random,100,0.6757500000000001,0.08962228610329216,0.6882307985098799,0.048931684260026406,0.467152309936143,0.09846432691135222,0.07429217687074825,0.013475816106099608
