dataset,metric,baseline,statistic,p_value,significant,alpha
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,acc,full_information,19.0,1.0,False,0.05
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,spa,full_information,0.0,1.0,False,0.05
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,ace,full_information,0.0,1.0,False,0.05
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,mse,full_information,0.0,1.0,False,0.05
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,acc,popularity,3344.0,0.0002493567887642673,True,0.05
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,spa,popularity,4258.0,1.271907828476598e-09,True,0.05
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,ace,popularity,3398.0,0.0013425700893382885,True,0.05
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,mse,popularity,3169.0,0.013404720555069,True,0.05
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,acc,simple_markov,4805.0,2.263139646145924e-15,True,0.05
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,spa,simple_markov,5050.0,1.948279922547955e-18,True,0.05
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,ace,simple_markov,5034.0,3.1558030207755135e-18,True,0.05
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,mse,simple_markov,5010.0,6.4694000841264654e-18,True,0.05
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,acc,random,4803.0,2.3907996149225727e-15,True,0.05
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,spa,random,5050.0,1.948279922547955e-18,True,0.05
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,ace,random,5048.0,2.0696869543572095e-18,True,0.05
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,mse,random,5025.0,4.1338992922577564e-18,True,0.05
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,acc,bayesian_network,3887.5,1.4014940976780727e-06,True,0.05
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,spa,bayesian_network,4735.0,1.4956257149984908e-14,True,0.05
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,ace,bayesian_network,5048.0,2.0696869543572095e-18,True,0.05
s10_s13_s14_s15_s47_s49_s58_s67_s70_s74_s77_s79_s86_s277_s278_s279_s280_s309_L1_0.001,mse,bayesian_network,5046.0,2.1985567770909475e-18,True,0.05
