dataset,metric,baseline,statistic,p_value,significant,alpha
s10_s13_s14_s15_s47_s49_s58_s70_s74_s77_s79_s277_s278_s279_s280_L1_0.001,acc,full_information,732.0,0.9999999994125106,False,0.05
s10_s13_s14_s15_s47_s49_s58_s70_s74_s77_s79_s277_s278_s279_s280_L1_0.001,spa,full_information,9.0,1.0,False,0.05
s10_s13_s14_s15_s47_s49_s58_s70_s74_s77_s79_s277_s278_s279_s280_L1_0.001,ace,full_information,41.0,1.0,False,0.05
s10_s13_s14_s15_s47_s49_s58_s70_s74_s77_s79_s277_s278_s279_s280_L1_0.001,mse,full_information,0.0,1.0,False,0.05
s10_s13_s14_s15_s47_s49_s58_s70_s74_s77_s79_s277_s278_s279_s280_L1_0.001,acc,popularity,2667.5,0.006299826568618153,True,0.05
s10_s13_s14_s15_s47_s49_s58_s70_s74_s77_s79_s277_s278_s279_s280_L1_0.001,spa,popularity,4586.0,6.882900943278932e-13,True,0.05
s10_s13_s14_s15_s47_s49_s58_s70_s74_s77_s79_s277_s278_s279_s280_L1_0.001,ace,popularity,4166.0,8.390105194210217e-09,True,0.05
s10_s13_s14_s15_s47_s49_s58_s70_s74_s77_s79_s277_s278_s279_s280_L1_0.001,mse,popularity,4492.0,6.749535740195999e-12,True,0.05
s10_s13_s14_s15_s47_s49_s58_s70_s74_s77_s79_s277_s278_s279_s280_L1_0.001,acc,simple_markov,5050.0,1.947840342912769e-18,True,0.05
s10_s13_s14_s15_s47_s49_s58_s70_s74_s77_s79_s277_s278_s279_s280_L1_0.001,spa,simple_markov,4711.0,2.820035284347496e-14,True,0.05
s10_s13_s14_s15_s47_s49_s58_s70_s74_s77_s79_s277_s278_s279_s280_L1_0.001,ace,simple_markov,5032.0,3.3512045343089987e-18,True,0.05
s10_s13_s14_s15_s47_s49_s58_s70_s74_s77_s79_s277_s278_s279_s280_L1_0.001,mse,simple_markov,5043.0,2.4068509115736995e-18,True,0.05
s10_s13_s14_s15_s47_s49_s58_s70_s74_s77_s79_s277_s278_s279_s280_L1_0.001,acc,random,5050.0,1.94773046269492e-18,True,0.05
s10_s13_s14_s15_s47_s49_s58_s70_s74_s77_s79_s277_s278_s279_s280_L1_0.001,spa,random,5050.0,1.948279922547955e-18,True,0.05
s10_s13_s14_s15_s47_s49_s58_s70_s74_s77_s79_s277_s278_s279_s280_L1_0.001,ace,random,5050.0,1.948279922547955e-18,True,0.05
s10_s13_s14_s15_s47_s49_s58_s70_s74_s77_s79_s277_s278_s279_s280_L1_0.001,mse,random,4996.0,9.803296737702679e-18,True,0.05
s10_s13_s14_s15_s47_s49_s58_s70_s74_s77_s79_s277_s278_s279_s280_L1_0.001,acc,bayesian_network,5038.0,2.7973422038644756e-18,True,0.05
s10_s13_s14_s15_s47_s49_s58_s70_s74_s77_s79_s277_s278_s279_s280_L1_0.001,spa,bayesian_network,4892.0,2.0007789655506545e-16,True,0.05
s10_s13_s14_s15_s47_s49_s58_s70_s74_s77_s79_s277_s278_s279_s280_L1_0.001,ace,bayesian_network,5050.0,1.948279922547955e-18,True,0.05
s10_s13_s14_s15_s47_s49_s58_s70_s74_s77_s79_s277_s278_s279_s280_L1_0.001,mse,bayesian_network,5050.0,1.948279922547955e-18,True,0.05
