dataset,metric,baseline,statistic,p_value,significant,alpha
s47_s49_s50_s58_s67_s74_s277_s278_s279_s280_L1_0.001,acc,full_information,274.0,0.9999999999999528,False,0.05
s47_s49_s50_s58_s67_s74_s277_s278_s279_s280_L1_0.001,spa,full_information,335.0,0.9999999999999746,False,0.05
s47_s49_s50_s58_s67_s74_s277_s278_s279_s280_L1_0.001,ace,full_information,525.0,0.9999999999969361,False,0.05
s47_s49_s50_s58_s67_s74_s277_s278_s279_s280_L1_0.001,mse,full_information,171.0,0.9999999999999997,False,0.05
s47_s49_s50_s58_s67_s74_s277_s278_s279_s280_L1_0.001,acc,popularity,2183.0,0.012908162245878109,True,0.05
s47_s49_s50_s58_s67_s74_s277_s278_s279_s280_L1_0.001,spa,popularity,4362.0,1.340341664806584e-10,True,0.05
s47_s49_s50_s58_s67_s74_s277_s278_s279_s280_L1_0.001,ace,popularity,2998.0,0.05193998628580476,False,0.05
s47_s49_s50_s58_s67_s74_s277_s278_s279_s280_L1_0.001,mse,popularity,2870.0,0.11776730614589836,False,0.05
s47_s49_s50_s58_s67_s74_s277_s278_s279_s280_L1_0.001,acc,simple_markov,2090.5,0.03599971791865819,True,0.05
s47_s49_s50_s58_s67_s74_s277_s278_s279_s280_L1_0.001,spa,simple_markov,3548.0,0.00021789307608884552,True,0.05
s47_s49_s50_s58_s67_s74_s277_s278_s279_s280_L1_0.001,ace,simple_markov,5049.0,2.00807784273135e-18,True,0.05
s47_s49_s50_s58_s67_s74_s277_s278_s279_s280_L1_0.001,mse,simple_markov,5012.0,6.09531325108971e-18,True,0.05
s47_s49_s50_s58_s67_s74_s277_s278_s279_s280_L1_0.001,acc,random,3044.0,0.000500002797374001,True,0.05
s47_s49_s50_s58_s67_s74_s277_s278_s279_s280_L1_0.001,spa,random,2873.0,0.11574352548298772,False,0.05
s47_s49_s50_s58_s67_s74_s277_s278_s279_s280_L1_0.001,ace,random,3082.0,0.027736883630880595,True,0.05
s47_s49_s50_s58_s67_s74_s277_s278_s279_s280_L1_0.001,mse,random,828.0,0.9999999973078453,False,0.05
s47_s49_s50_s58_s67_s74_s277_s278_s279_s280_L1_0.001,acc,bayesian_network,2909.0,2.613315181631122e-07,True,0.05
s47_s49_s50_s58_s67_s74_s277_s278_s279_s280_L1_0.001,spa,bayesian_network,4760.0,7.670430505382938e-15,True,0.05
s47_s49_s50_s58_s67_s74_s277_s278_s279_s280_L1_0.001,ace,bayesian_network,5045.0,2.2659305305547724e-18,True,0.05
s47_s49_s50_s58_s67_s74_s277_s278_s279_s280_L1_0.001,mse,bayesian_network,5013.0,5.9163578726673105e-18,True,0.05
