dataset,metric,baseline,statistic,p_value,significant,alpha
s58_s74_s277_s279_s280_L1_0.001,acc,full_information,31.0,0.9844344832299252,False,0.05
s58_s74_s277_s279_s280_L1_0.001,spa,full_information,1439.0,0.9999057765322096,False,0.05
s58_s74_s277_s279_s280_L1_0.001,ace,full_information,941.0,0.9999999742867621,False,0.05
s58_s74_s277_s279_s280_L1_0.001,mse,full_information,816.0,0.9999999978997407,False,0.05
s58_s74_s277_s279_s280_L1_0.001,acc,popularity,4824.5,1.1858829618400538e-16,True,0.05
s58_s74_s277_s279_s280_L1_0.001,spa,popularity,5050.0,1.948279922547955e-18,True,0.05
s58_s74_s277_s279_s280_L1_0.001,ace,popularity,4815.0,1.7206405146748984e-15,True,0.05
s58_s74_s277_s279_s280_L1_0.001,mse,popularity,5050.0,1.948279922547955e-18,True,0.05
s58_s74_s277_s279_s280_L1_0.001,acc,simple_markov,4260.0,6.065856752480327e-12,True,0.05
s58_s74_s277_s279_s280_L1_0.001,spa,simple_markov,2765.0,0.2046296050134001,False,0.05
s58_s74_s277_s279_s280_L1_0.001,ace,simple_markov,4613.0,3.5054542553800257e-13,True,0.05
s58_s74_s277_s279_s280_L1_0.001,mse,simple_markov,5025.0,4.1338992922577564e-18,True,0.05
s58_s74_s277_s279_s280_L1_0.001,acc,random,5041.0,2.5150650856930807e-18,True,0.05
s58_s74_s277_s279_s280_L1_0.001,spa,random,5050.0,1.948279922547955e-18,True,0.05
s58_s74_s277_s279_s280_L1_0.001,ace,random,5028.0,3.77852402453971e-18,True,0.05
s58_s74_s277_s279_s280_L1_0.001,mse,random,5050.0,1.948279922547955e-18,True,0.05
s58_s74_s277_s279_s280_L1_0.001,acc,bayesian_network,4505.0,9.271969552047495e-15,True,0.05
s58_s74_s277_s279_s280_L1_0.001,spa,bayesian_network,5049.0,2.00807784273135e-18,True,0.05
s58_s74_s277_s279_s280_L1_0.001,ace,bayesian_network,4634.0,2.0620149599162816e-13,True,0.05
s58_s74_s277_s279_s280_L1_0.001,mse,bayesian_network,5050.0,1.948279922547955e-18,True,0.05
