dataset,metric,baseline,statistic,p_value,significant,alpha
k5,acc,full_information,464.5,0.9999999999872538,False,0.05
k5,spa,full_information,272.0,0.9999999999999952,False,0.05
k5,ace,full_information,455.0,0.9999999999994498,False,0.05
k5,mse,full_information,174.0,0.9999999999999997,False,0.05
k5,acc,popularity,1609.5,0.5951772831304962,False,0.05
k5,spa,popularity,2497.0,0.5383481608011511,False,0.05
k5,ace,popularity,1684.0,0.9980837622787585,False,0.05
k5,mse,popularity,1296.0,0.9999880901073589,False,0.05
k5,acc,simple_markov,990.5,0.9999976680339712,False,0.05
k5,spa,simple_markov,751.0,0.9999999994682899,False,0.05
k5,ace,simple_markov,4705.0,3.30109289607355e-14,True,0.05
k5,mse,simple_markov,2456.0,0.5937664089427507,False,0.05
k5,acc,random,1958.5,0.8493972873278235,False,0.05
k5,spa,random,2226.0,0.8480389925342458,False,0.05
k5,ace,random,1600.0,0.999264768656983,False,0.05
k5,mse,random,893.0,0.9999999899620633,False,0.05
k10,acc,full_information,0.0,1.0,False,0.05
k10,spa,full_information,0.0,1.0,False,0.05
k10,ace,full_information,0.0,1.0,False,0.05
k10,mse,full_information,0.0,1.0,False,0.05
k10,acc,popularity,3047.5,3.6701548874807994e-13,True,0.05
k10,spa,popularity,2547.0,0.46985150439319096,False,0.05
k10,ace,popularity,1327.0,0.9999809833328601,False,0.05
k10,mse,popularity,748.0,0.9999999995015422,False,0.05
k10,acc,simple_markov,289.5,0.9999999999999533,False,0.05
k10,spa,simple_markov,600.0,0.9999999999818907,False,0.05
k10,ace,simple_markov,4243.0,1.7415240236509384e-09,True,0.05
k10,mse,simple_markov,2100.0,0.9280317972049145,False,0.05
k10,acc,random,288.0,0.9999999999999716,False,0.05
k10,spa,random,15.0,1.0,False,0.05
k10,ace,random,0.0,1.0,False,0.05
k10,mse,random,0.0,1.0,False,0.05
