parameter,metric,avg_win_rate,avg_effect_size,significant_ratio,effect_interpretation
current_alpha_beta,acc,0.6598222222222222,0.22051136351165984,0.6,small
current_alpha_beta,ace,0.7531555555555556,0.25765803017832645,0.8,small
current_alpha_beta,hd,0.7506074074074074,0.14146076268861454,0.8,negligible
current_alpha_beta,jsd,0.7538962962962963,0.18254415363511658,0.84,small
current_alpha_beta,kl,0.7850962962962963,0.2956583155006859,0.88,small
current_alpha_beta,mse,0.7428148148148149,0.31072111934156377,0.76,small
current_alpha_beta,spa,0.7269629629629629,0.16216032921810697,0.76,small
future_alpha_beta,acc,0.6598222222222222,0.2231458765432099,0.6,small
future_alpha_beta,ace,0.7531555555555556,0.2755781179698216,0.8,small
future_alpha_beta,hd,0.7506074074074074,0.14027548971193415,0.84,negligible
future_alpha_beta,jsd,0.7538962962962963,0.18137753635116596,0.84,small
future_alpha_beta,kl,0.7850962962962964,0.294272877914952,0.84,small
future_alpha_beta,mse,0.7428148148148148,0.17173515500685874,0.8,small
future_alpha_beta,spa,0.7269629629629629,0.14674076268861455,0.8,negligible
n_skills,acc,0.6598222222222222,0.2180926156378601,0.6,small
n_skills,ace,0.7531555555555556,0.259335953909465,0.8,small
n_skills,hd,0.7506074074074076,0.32228882962962957,0.7333333333333333,small
n_skills,jsd,0.7538962962962964,0.330099858436214,0.8,medium
n_skills,kl,0.7850962962962964,0.40884453662551434,0.8,medium
n_skills,mse,0.7428148148148147,0.17234380905349797,0.8,small
n_skills,spa,0.7269629629629629,0.1624993975308642,0.7333333333333333,small
n_students,acc,0.6598222222222223,0.19497605267489718,0.6,small
n_students,ace,0.7531555555555556,0.23682970864197533,0.8,small
n_students,hd,0.7506074074074075,0.14115034074074073,0.7333333333333333,negligible
n_students,jsd,0.7538962962962963,0.18200370041152264,0.7333333333333333,small
n_students,kl,0.7850962962962964,0.29506696954732514,0.8,small
n_students,mse,0.7428148148148149,0.16648757201646092,0.8,small
n_students,spa,0.7269629629629629,0.13342822716049385,0.8,negligible
smoothing,acc,0.6598222222222223,0.19759120329218105,0.6,small
smoothing,ace,0.7531555555555555,0.23644881646090532,0.7333333333333333,small
smoothing,hd,0.7506074074074075,0.16155282962962966,0.7333333333333333,small
smoothing,jsd,0.7538962962962963,0.1976579160493827,0.8,small
smoothing,kl,0.7850962962962963,0.30520443786008233,0.8,small
smoothing,mse,0.7428148148148149,0.16733451851851858,0.7333333333333333,small
smoothing,spa,0.726962962962963,0.135432375308642,0.8,negligible
