metric,baseline,significant_ratio
kl,bayesian_network,0.4074074074074074
kl,full_information,0.17185185185185184
kl,popularity,0.7318518518518519
kl,random,1.0
kl,simple_markov,1.0
hd,bayesian_network,0.35555555555555557
hd,full_information,0.16296296296296298
hd,popularity,0.7644444444444445
hd,random,1.0
hd,simple_markov,0.802962962962963
jsd,bayesian_network,0.36592592592592593
jsd,full_information,0.1748148148148148
jsd,popularity,0.7511111111111111
jsd,random,1.0
jsd,simple_markov,0.802962962962963
acc,bayesian_network,0.64
acc,full_information,0.002962962962962963
acc,popularity,0.01925925925925926
acc,random,0.9896296296296296
acc,simple_markov,0.7585185185185185
ace,bayesian_network,0.7925925925925926
ace,full_information,0.01037037037037037
ace,popularity,0.4266666666666667
ace,random,0.9259259259259259
ace,simple_markov,0.9940740740740741
spa,bayesian_network,0.6592592592592592
spa,full_information,0.023703703703703703
spa,popularity,0.7022222222222222
spa,random,0.9985185185185185
spa,simple_markov,0.5392592592592592
mse,bayesian_network,0.8414814814814815
mse,full_information,0.008888888888888889
mse,popularity,0.3540740740740741
mse,random,0.9407407407407408
mse,simple_markov,0.965925925925926
