experiment,metric,baseline,p_value,significant
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[2, 6]_future_alpha_beta-[2, 6]",acc,full_information,0.9970703125,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[2, 6]_future_alpha_beta-[2, 6]",acc,popularity,0.9345703125,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[2, 6]_future_alpha_beta-[2, 6]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[2, 6]_future_alpha_beta-[2, 6]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[2, 6]_future_alpha_beta-[2, 6]",acc,bayesian_network,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[2, 6]_future_alpha_beta-[3, 5]",acc,full_information,0.9677734375,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[2, 6]_future_alpha_beta-[3, 5]",acc,popularity,0.19140625,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[2, 6]_future_alpha_beta-[3, 5]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[2, 6]_future_alpha_beta-[3, 5]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[2, 6]_future_alpha_beta-[3, 5]",acc,bayesian_network,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[2, 6]_future_alpha_beta-[4, 4]",acc,full_information,0.9951171875,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[2, 6]_future_alpha_beta-[4, 4]",acc,popularity,0.5390625,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[2, 6]_future_alpha_beta-[4, 4]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[2, 6]_future_alpha_beta-[4, 4]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[2, 6]_future_alpha_beta-[4, 4]",acc,bayesian_network,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[2, 6]_future_alpha_beta-[5, 3]",acc,full_information,0.9951171875,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[2, 6]_future_alpha_beta-[5, 3]",acc,popularity,0.8203125,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[2, 6]_future_alpha_beta-[5, 3]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[2, 6]_future_alpha_beta-[5, 3]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[2, 6]_future_alpha_beta-[5, 3]",acc,bayesian_network,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[2, 6]_future_alpha_beta-[6, 2]",acc,full_information,0.99609375,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[2, 6]_future_alpha_beta-[6, 2]",acc,popularity,0.875,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[2, 6]_future_alpha_beta-[6, 2]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[2, 6]_future_alpha_beta-[6, 2]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[2, 6]_future_alpha_beta-[6, 2]",acc,bayesian_network,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[3, 5]_future_alpha_beta-[2, 6]",acc,full_information,0.9033203125,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[3, 5]_future_alpha_beta-[2, 6]",acc,popularity,0.578125,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[3, 5]_future_alpha_beta-[2, 6]",acc,simple_markov,0.001953125,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[3, 5]_future_alpha_beta-[2, 6]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[3, 5]_future_alpha_beta-[2, 6]",acc,bayesian_network,0.0029296875,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[3, 5]_future_alpha_beta-[3, 5]",acc,full_information,0.65234375,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[3, 5]_future_alpha_beta-[3, 5]",acc,popularity,0.23046875,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[3, 5]_future_alpha_beta-[3, 5]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[3, 5]_future_alpha_beta-[3, 5]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[3, 5]_future_alpha_beta-[3, 5]",acc,bayesian_network,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[3, 5]_future_alpha_beta-[4, 4]",acc,full_information,0.9345703125,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[3, 5]_future_alpha_beta-[4, 4]",acc,popularity,0.5,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[3, 5]_future_alpha_beta-[4, 4]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[3, 5]_future_alpha_beta-[4, 4]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[3, 5]_future_alpha_beta-[4, 4]",acc,bayesian_network,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[3, 5]_future_alpha_beta-[5, 3]",acc,full_information,0.951171875,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[3, 5]_future_alpha_beta-[5, 3]",acc,popularity,0.673828125,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[3, 5]_future_alpha_beta-[5, 3]",acc,simple_markov,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[3, 5]_future_alpha_beta-[5, 3]",acc,random,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[3, 5]_future_alpha_beta-[5, 3]",acc,bayesian_network,0.0009765625,True
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[3, 5]_future_alpha_beta-[6, 2]",acc,full_information,0.8984375,False
"n_students-100_n_skills-10_smoothing-0.1_current_alpha_beta-[3, 5]_future_alpha_beta-[6, 2]",acc,popularity,0.0234375,True
