parameter,metric,avg_win_rate,avg_effect_size,significant_ratio,effect_interpretation
current_alpha_beta,acc,0.6455407407407407,0.2064313635116598,0.6,small
current_alpha_beta,ace,0.7587259259259259,0.24697977503429358,0.8,small
current_alpha_beta,hd,0.742311111111111,0.13613137997256516,0.84,negligible
current_alpha_beta,jsd,0.7444148148148148,0.17397298216735255,0.88,small
current_alpha_beta,kl,0.7754666666666666,0.2954950233196159,0.92,small
current_alpha_beta,mse,0.7466962962962963,0.29533664746227706,0.8,small
current_alpha_beta,spa,0.7094222222222223,0.1512154074074074,0.8,small
future_alpha_beta,acc,0.6455407407407407,0.20325642798353907,0.6,small
future_alpha_beta,ace,0.7587259259259259,0.263616658436214,0.8,small
future_alpha_beta,hd,0.7423111111111111,0.13424996433470507,0.84,negligible
future_alpha_beta,jsd,0.7444148148148148,0.17246854320987656,0.84,small
future_alpha_beta,kl,0.7754666666666665,0.29361251028806584,0.84,small
future_alpha_beta,mse,0.7466962962962963,0.14790009327846365,0.8,small
future_alpha_beta,spa,0.7094222222222222,0.12765168724279835,0.8,negligible
n_skills,acc,0.6455407407407406,0.1888013300411523,0.6,small
n_skills,ace,0.758725925925926,0.2345712197530864,0.8,small
n_skills,hd,0.742311111111111,0.3048844905349794,0.6666666666666666,small
n_skills,jsd,0.7444148148148148,0.30405580905349794,0.7333333333333333,small
n_skills,kl,0.7754666666666666,0.3920637366255144,0.7333333333333333,medium
n_skills,mse,0.7466962962962963,0.14631263868312758,0.8,negligible
n_skills,spa,0.7094222222222223,0.1340928,0.7333333333333333,negligible
n_students,acc,0.6455407407407407,0.17140713086419754,0.6,small
n_students,ace,0.758725925925926,0.21920571522633747,0.8,small
n_students,hd,0.742311111111111,0.1348322502057613,0.6666666666666666,negligible
n_students,jsd,0.744414814814815,0.17292952757201646,0.7333333333333333,small
n_students,kl,0.7754666666666666,0.2942115028806585,0.7333333333333333,small
n_students,mse,0.7466962962962963,0.14193734320987653,0.8,negligible
n_students,spa,0.7094222222222222,0.11492121810699586,0.8,negligible
smoothing,acc,0.6455407407407406,0.17399154567901232,0.6,small
smoothing,ace,0.758725925925926,0.21924393086419752,0.8,small
smoothing,hd,0.742311111111111,0.15766539588477366,0.7333333333333333,small
smoothing,jsd,0.7444148148148149,0.191869129218107,0.7333333333333333,small
smoothing,kl,0.7754666666666666,0.30680741399176953,0.7333333333333333,small
smoothing,mse,0.7466962962962962,0.14302808230452677,0.7333333333333333,negligible
smoothing,spa,0.7094222222222223,0.11729066666666667,0.8,negligible
