current_alpha_beta,baseline,metric,n_experiments,n_samples,win_rate,tie_rate,mean_diff,median_diff,std_diff,effect_size,p_value,significant,effect_interpretation
"10.0,2.5",full_information,acc,135,1350,0.31777777777777777,0.30148148148148146,-0.0025448971193415704,0.0,0.018583873495492717,-0.018043895747599452,0.9999947226880018,False,negligible
"10.0,2.5",popularity,acc,135,1350,0.2607407407407407,0.3837037037037037,-0.001965922986478548,0.0,0.01616803694201866,-0.021832098765432097,0.9999959255551091,False,negligible
"10.0,2.5",random,acc,135,1350,0.8948148148148148,0.017037037037037038,0.05705952087007643,0.04833333333333334,0.05059149241624792,0.4484148148148148,2.442344064697706e-197,True,medium
"10.0,2.5",simple_markov,acc,135,1350,0.7481481481481481,0.07185185185185185,0.024276443268665487,0.0183333333333332,0.03208090239156849,0.19649876543209877,1.6905130766791386e-125,True,small
"10.0,2.5",full_information,ace,135,1350,0.5037037037037037,0.0,-0.0002436246726114666,4.9710505388413095e-05,0.009884725976781434,-0.0017931412894375857,0.655800892165659,False,negligible
"10.0,2.5",popularity,ace,135,1350,0.7874074074074074,0.0,0.012651126781683918,0.008473136815307536,0.018856740739995617,0.06418216735253772,7.729496519125094e-120,True,negligible
"10.0,2.5",random,ace,135,1350,0.8925925925925926,0.0,0.035091651005134034,0.023465054904459853,0.040655372635135446,0.16169876543209877,3.858388442490165e-184,True,small
"10.0,2.5",simple_markov,ace,135,1350,0.8933333333333333,0.0,0.5121027735096484,0.41989852706938446,0.4548954538791939,0.6196850480109739,7.065664794082174e-205,True,large
"10.0,2.5",full_information,hd,135,1350,0.7340740740740741,0.0,0.07401224835351519,0.06901168025879512,0.13011856511163938,0.03030233196159122,2.493588359646355e-81,True,negligible
"10.0,2.5",popularity,hd,135,1350,0.945925925925926,0.0,0.36100536136900635,0.31737745314334814,0.26264779364482116,0.12341069958847736,1.7014842688580272e-214,True,negligible
"10.0,2.5",random,hd,135,1350,0.9851851851851852,0.0,0.7092409998093252,0.6493528598137919,0.4412287601203763,0.20090534979423869,4.7623077116317916e-222,True,small
"10.0,2.5",simple_markov,hd,135,1350,0.9162962962962963,0.0,0.8645649841286235,0.8636545642159692,0.5960652087213207,0.3019522633744856,1.268581738135724e-206,True,small
"10.0,2.5",full_information,jsd,135,1350,0.7355555555555555,0.0,0.050385559147867735,0.03573628885794733,0.08605178728308786,0.03040658436213992,1.259495337861259e-87,True,negligible
"10.0,2.5",popularity,jsd,135,1350,0.9474074074074074,0.0,0.23231835320272712,0.16953893312177382,0.20629302701351634,0.1555764060356653,3.0733904468301286e-214,True,small
"10.0,2.5",random,jsd,135,1350,0.9940740740740741,0.0,0.4873902772996582,0.37108841274768184,0.39115126583655624,0.2603456790123457,1.9450625500828047e-222,True,small
"10.0,2.5",simple_markov,jsd,135,1350,0.9259259259259259,0.0,0.5507503393855149,0.6015140771477792,0.37334522173795986,0.3678288065843621,2.492920177848846e-208,True,medium
"10.0,2.5",full_information,kl,135,1350,0.7288888888888889,0.0,0.2363138128892739,0.15949800992934327,0.40305046449001203,0.031165980795610424,2.0144049695984996e-87,True,negligible
"10.0,2.5",popularity,kl,135,1350,0.9407407407407408,0.0,1.0568263634568058,0.7773183304796294,0.9595113769161766,0.15879286694101508,3.807607497274689e-212,True,small
"10.0,2.5",random,kl,135,1350,0.9948148148148148,0.0,2.33347282315274,1.81570730114028,1.956633064651696,0.28986008230452676,2.0977604520949158e-222,True,small
"10.0,2.5",simple_markov,kl,135,1350,1.0,0.0,22.921862100152545,24.04967851569992,11.04278824221547,0.9313327846364884,1.4279821672280256e-222,True,large
"10.0,2.5",full_information,mse,135,1350,0.49777777777777776,0.0,-7.021343132860199e-05,-2.4139881134013687e-06,0.00130073375566791,-0.0040526748971193415,0.9084220293601161,False,negligible
"10.0,2.5",popularity,mse,135,1350,0.78,0.0,0.0013406020281569824,0.0010659632542353512,0.002060658841304244,0.11792373113854596,2.7408662796126973e-106,True,negligible
"10.0,2.5",random,mse,135,1350,0.8977777777777778,0.0,0.004535615173594295,0.003607747345914499,0.0045156989458181845,0.3586666666666667,8.028860909559329e-186,True,medium
"10.0,2.5",simple_markov,mse,135,1350,0.88,0.0,0.004826013552437788,0.004390453371874552,0.004410736445835259,0.32057503429355283,2.533147440573418e-182,True,small
