future_alpha_beta,baseline,metric,n_experiments,n_samples,win_rate,tie_rate,mean_diff,median_diff,std_diff,effect_size,p_value,significant,effect_interpretation
"10.0,2.5",bayesian_network,acc,135,1350,0.8007407407407408,0.013333333333333334,0.030254388327721645,0.026636904761904556,0.03594826684471559,0.3389903978052126,4.657130738316904e-139,True,medium
"10.0,2.5",full_information,acc,135,1350,0.25703703703703706,0.20814814814814814,-0.01299665482665486,-0.0023735569985569582,0.028588629380602883,-0.1595522633744856,1.0,False,small
"10.0,2.5",popularity,acc,135,1350,0.3688888888888889,0.2688888888888889,-0.00021433186155408925,0.0,0.02108848332512712,-0.0014606310013717421,0.672516882875293,False,negligible
"10.0,2.5",random,acc,135,1350,0.9377777777777778,0.0014814814814814814,0.056421182171737715,0.05341666666666656,0.04059109537713938,0.5807791495198903,1.8473535362434604e-211,True,large
"10.0,2.5",simple_markov,acc,135,1350,0.8422222222222222,0.011851851851851851,0.03370229823674268,0.031579365079364985,0.03306491433620288,0.3677969821673525,8.623907533533482e-169,True,medium
"10.0,2.5",bayesian_network,ace,135,1350,0.9103703703703704,0.0,0.08480779180634948,0.05364262546355082,0.11353534712519527,0.4437903978052126,6.347540096085286e-199,True,medium
"10.0,2.5",full_information,ace,135,1350,0.29333333333333333,0.0,-0.010225923395548188,-0.004635032270035547,0.01950869663222845,-0.11331467764060357,1.0,False,negligible
"10.0,2.5",popularity,ace,135,1350,0.6414814814814814,0.0,0.040758064633973426,0.0029012489055345453,0.23321859766724176,0.044600274348422494,1.8655546169437253e-29,True,negligible
"10.0,2.5",random,ace,135,1350,0.8970370370370371,0.0,0.030369709157098926,0.02325941083969431,0.03115846993004067,0.3265777777777778,1.4836194810859606e-182,True,small
"10.0,2.5",simple_markov,ace,135,1350,0.9488888888888889,0.0,0.43678139009928507,0.33675676285045775,0.4042741261906752,0.8049371742112483,7.201410611049633e-218,True,large
"10.0,2.5",bayesian_network,hd,135,1350,0.5266666666666666,0.0,0.017240801182209716,0.021170814914264258,0.5059444965641022,0.003801371742112483,0.016901620130084366,True,negligible
"10.0,2.5",full_information,hd,135,1350,0.5896296296296296,0.0,0.02677591284269924,0.032708029280518136,0.17874728399671827,0.00511275720164609,3.4025643219562186e-12,True,negligible
"10.0,2.5",popularity,hd,135,1350,0.8318518518518518,0.0,0.28520324501242933,0.23659159052361123,0.3033355664654201,0.09837256515775035,5.216917396270025e-162,True,negligible
"10.0,2.5",random,hd,135,1350,0.9903703703703703,0.0,0.9212597572880624,0.8512151401130811,0.5695493792657489,0.2677860082304527,2.672785185135604e-222,True,small
"10.0,2.5",simple_markov,hd,135,1350,0.8822222222222222,0.0,0.9974902647113338,0.7788125782948853,0.923829799744531,0.314239780521262,1.668249914088981e-187,True,small
"10.0,2.5",bayesian_network,jsd,135,1350,0.5511111111111111,0.0,0.015172063677199853,0.014544204296590209,0.28824324318125893,0.02513360768175583,7.400803964777236e-05,True,negligible
"10.0,2.5",full_information,jsd,135,1350,0.5740740740740741,0.0,0.014745257946907012,0.011204895396463188,0.11828867286647132,0.001968724279835391,2.389887412889712e-10,True,negligible
"10.0,2.5",popularity,jsd,135,1350,0.8325925925925926,0.0,0.17504107396117644,0.1101455936345727,0.21793742438101296,0.11876433470507544,7.159088243096686e-158,True,negligible
"10.0,2.5",random,jsd,135,1350,0.9948148148148148,0.0,0.6237075872937289,0.4893974127512173,0.5084925217468702,0.3610699588477366,1.8770984981580234e-222,True,medium
"10.0,2.5",simple_markov,jsd,135,1350,0.8777777777777778,0.0,0.6076582078826384,0.5081631541482698,0.5852348390624701,0.3793174211248285,4.6278313663460257e-184,True,medium
"10.0,2.5",bayesian_network,kl,135,1350,0.6140740740740741,0.0,0.5936458124569951,0.14520448232017402,2.0937709269125806,0.06651412894375858,5.235996593563566e-26,True,negligible
"10.0,2.5",full_information,kl,135,1350,0.5674074074074074,0.0,0.050775912228851534,0.03980472927092389,0.5418483069126037,-0.0010381344307270233,5.21916992633988e-08,True,negligible
"10.0,2.5",popularity,kl,135,1350,0.8214814814814815,0.0,1.3388777668311642,0.4718428682132534,4.304422043845389,0.13341563786008231,1.7662266574666272e-155,True,negligible
"10.0,2.5",random,kl,135,1350,0.9940740740740741,0.0,2.9361232914367275,2.2067512250744974,2.4962988527666345,0.39410699588477366,2.1882495553667313e-222,True,medium
"10.0,2.5",simple_markov,kl,135,1350,1.0,0.0,29.137100450725114,27.42906770244358,20.449939902947662,0.9052565157750343,1.4279826080709742e-222,True,large
"10.0,2.5",bayesian_network,mse,135,1350,0.9266666666666666,0.0,0.02476830422218164,0.01801182344840345,0.024344731072088684,0.3137196159122085,9.477777532332689e-206,True,small
"10.0,2.5",full_information,mse,135,1350,0.277037037037037,0.0,-0.005086101146190669,-0.0013570003211498052,0.00970795996336262,-0.08042249657064472,1.0,False,negligible
"10.0,2.5",popularity,mse,135,1350,0.6251851851851852,0.0,0.0015505519142592768,0.0007459188406025042,0.008128096113321564,0.022353909465020576,1.369177339643061e-19,True,negligible
"10.0,2.5",random,mse,135,1350,0.9044444444444445,0.0,0.012087265373061295,0.008650251320317597,0.012687386638268317,0.21914074074074075,2.4375311300474367e-187,True,small
