parameter,metric,avg_win_rate,avg_effect_size,significant_ratio,effect_interpretation
n_skills,acc,0.6125555555555555,0.1780110288065844,0.5,small
n_skills,ace,0.731925925925926,0.2387000823045267,0.75,small
n_skills,hd,0.7947037037037038,0.38140141563786,0.75,medium
n_skills,jsd,0.7921111111111111,0.3739093004115226,0.75,medium
n_skills,kl,0.8182592592592592,0.46417162139917695,0.75,medium
n_skills,mse,0.7128888888888888,0.12114304526748972,0.75,negligible
n_skills,spa,0.6954814814814815,0.1298003621399177,0.6666666666666666,negligible
n_students,acc,0.6125555555555555,0.16186072427983536,0.5,small
n_students,ace,0.731925925925926,0.22557863374485598,0.75,small
n_students,hd,0.7947037037037038,0.1671836378600823,0.75,small
n_students,jsd,0.7921111111111111,0.20929883127572013,0.75,small
n_students,kl,0.8182592592592592,0.3501408395061729,0.75,medium
n_students,mse,0.7128888888888888,0.11812893827160494,0.75,negligible
n_students,spa,0.6954814814814815,0.11253889711934156,0.75,negligible
smoothing,acc,0.6125555555555555,0.16227145679012348,0.5,small
smoothing,ace,0.731925925925926,0.22575575308641974,0.75,small
smoothing,hd,0.7947037037037036,0.1916484938271605,0.75,small
smoothing,jsd,0.7921111111111111,0.22985501234567904,0.75,small
smoothing,kl,0.8182592592592592,0.36197346502057615,0.75,medium
smoothing,mse,0.7128888888888888,0.11956419753086418,0.6666666666666666,negligible
smoothing,spa,0.6954814814814815,0.11450567901234567,0.75,negligible
