metric,baseline,significant_ratio
kl,full_information,0.17405582922824303
kl,popularity,0.7208538587848933
kl,random,0.9983579638752053
kl,simple_markov,1.0
hd,full_information,0.17077175697865354
hd,popularity,0.7438423645320197
hd,random,0.9983579638752053
hd,simple_markov,0.7931034482758621
jsd,full_information,0.18226600985221675
jsd,popularity,0.7274220032840722
jsd,random,1.0
jsd,simple_markov,0.7832512315270936
acc,full_information,0.013136288998357963
acc,popularity,0.013136288998357963
acc,random,0.9835796387520526
acc,simple_markov,0.7323481116584565
ace,full_information,0.013136288998357963
ace,popularity,0.4482758620689655
ace,random,0.9047619047619048
ace,simple_markov,0.9720853858784894
spa,full_information,0.026272577996715927
spa,popularity,0.6584564860426929
spa,random,0.9950738916256158
spa,simple_markov,0.46469622331691296
mse,full_information,0.0180623973727422
mse,popularity,0.3973727422003284
mse,random,0.9146141215106732
mse,simple_markov,0.9261083743842364
